Time,People,Distance_Home,Distance_Police,Distance_Pop,Risk_Time,Risk_People,Risk_Home,Risk_Police,Risk_Pop,Total_Risk,
18.40973887,6,19.34192809,1.660924866,2.829311976,2.659287711,7.926545765,8.189416989,3.994937176,5.242770055,5.860939774,
4.108319567,7,21.77003413,1.712406912,4.809656263,9.857381706,7.637504718,8.966410922,4.038101616,9.38798531,7.930537215,
16.2533,1,21.12603245,3.240039242,4.437193138,2.007491655,9.609835396,8.760330384,5.846671838,8.328004281,7.542517973,
6.162292877,4,15.709564,1.699913078,3.315812139,8.887736945,8.549846025,7.027060479,4.027541261,5.969795918,6.600602023,
3.493491229,4,22.0499143,1.823669963,4.925437212,9.97158896,8.549846025,9.055972575,4.134605753,9.752355964,8.270950556,
6.766708671,7,26.14010983,2.143307543,3.598578561,8.454141351,7.637504718,10.36483515,4.43802254,6.46508819,7.273013073,
2.893096294,1,21.15544125,1.597719302,4.768017976,9.998665236,9.609835396,8.769741201,3.943191425,9.261176547,8.242773092,
3.035874391,3,20.44225369,1.172582416,3.577365945,9.999849683,8.885663811,8.541521182,3.628337847,6.425878367,7.138853046,
16.45249335,3,24.1046073,1.593578395,4.957080665,2.023891017,8.885663811,9.713474337,3.939848538,9.855030388,7.666695555,
17.6394574,5,19.6349235,1.993591812,4.828928203,2.309852475,8.230406265,8.283175519,4.290878745,9.447425086,7.226104879,
3.394965664,5,13.7259769,1.552535769,5.857831166,9.981793269,8.230406265,6.392312607,3.907024879,13.42365492,8.731224554,
22.69100171,5,23.2619803,2.614960259,3.680547861,6.184565081,8.230406265,9.443833696,4.966255775,6.619894182,7.13252391,
9.438663984,2,20.42320452,2.394651063,2.21829404,6.059287914,9.238699344,8.535425445,4.706607247,4.515236064,6.456646018,
6.965217646,4,22.778871,2.896952116,3.113852178,8.299848878,8.549846025,9.289238719,5.335266845,5.650045874,7.159868968,
1.939540385,4,18.45505857,1.450445003,3.926074925,9.869366929,8.549846025,7.905618741,3.827767053,7.116455703,7.178519767,
16.97591071,5,31.9816908,1.522609415,3.934500256,2.110725922,8.230406265,12.23414106,3.883442077,7.134411374,7.220993884,
10.50357873,6,15.84267895,1.934329759,3.071954693,5.039378865,7.926545765,7.069657265,4.23511865,5.587009193,6.02630498,
19.51891155,3,9.917552933,1.634361785,2.964922534,3.361220349,8.885663811,5.173616938,3.973024472,5.430873144,5.571845022,
9.234482112,3,18.60581559,2.171685884,4.842813566,6.256485161,8.885663811,7.953860989,4.466960906,9.490547414,7.734109881,
18.03226449,7,14.49390417,1.754490608,4.617034884,2.472777323,7.637504718,6.638049335,4.074078989,8.819342807,6.563007183,
22.11033249,5,21.35403533,1.458429994,2.68047263,5.62388672,8.230406265,8.833291304,3.833845616,5.048167285,6.256347494,
17.34434244,4,30.5209245,2.272899003,4.711411176,2.2092376,8.549846025,11.76669584,4.572997098,9.092265094,7.926511081,
7.989544726,6,19.20721274,2.493140874,3.700556742,7.427864778,7.926545765,8.146308075,4.819749287,6.658490614,6.918854288,
17.19028847,2,18.79327343,1.952827788,2.784274193,2.164342902,9.238699344,8.013847499,4.252376304,5.18260871,6.072201533,
5.867969484,5,18.81384444,1.884716197,2.966409442,9.077136765,8.230406265,8.020430222,4.189482018,5.432994959,6.625675865,
0.194582907,3,20.35103544,0.678830696,3.994089462,9.115415788,8.885663811,8.512331342,3.326120554,7.263216796,7.235329759,
8.11033919,2,24.60872023,1.940852524,3.412594139,7.318199523,9.238699344,9.874790473,4.24118889,6.132806198,7.242597553,
1.187096297,6,18.0901204,2.028859977,2.799131511,9.622223559,7.926545765,7.788838527,4.324720876,5.20233068,6.530942594,
11.36908552,2,20.58939658,2.216645854,6.381753036,4.254071233,9.238699344,8.588606907,4.513512924,16.20413206,9.754810576,
9.428605037,7,12.16972445,1.574346428,2.951719817,6.069010082,7.637504718,5.894311824,3.924398102,5.412090317,5.721771032,
14.73546625,7,17.0707808,2.904410096,4.237071763,2.185319689,7.637504718,7.462649856,5.345625655,7.822760367,6.654516125,
0.299682935,4,16.17063675,2.316134077,4.47278459,9.178124621,8.549846025,7.174603761,4.619670508,8.422348318,7.513341016,
10.59009254,7,24.05859814,2.039272646,3.192809369,4.958414093,7.637504718,9.698751405,4.33480778,5.771867118,6.561614325,
1.721890414,5,20.1559046,1.806590071,4.588216341,9.810711677,8.230406265,8.449889473,4.119499873,8.738115959,7.762465077,
0.652845444,5,13.44789382,1.555268581,4.949824859,9.373600927,8.230406265,6.303326023,3.90919307,9.831367759,7.575355492,
5.174028763,6,20.41191999,2.436669207,4.298738554,9.460537872,7.926545765,8.531814398,4.754310272,7.973992658,7.580785672,
3.258621684,4,15.83234558,1.998203483,3.163774244,9.992190351,8.549846025,7.066350586,4.295275795,5.726603879,6.69949468,
12.58922062,7,24.6146498,2.22987285,4.202763264,3.283575904,7.637504718,9.876687937,4.527374788,7.7402856,7.058756759,
4.587964187,5,26.68023002,1.464329328,3.231920704,9.709070171,8.230406265,10.53767361,3.838349456,5.833708566,7.242305453,
15.13281052,7,19.56645238,1.597662364,5.524481697,2.087514702,7.637504718,8.26126476,3.94314542,11.94509525,7.760663024,
3.718238089,5,22.49676037,1.957492013,4.046990226,9.939897947,8.230406265,9.198963318,4.256748767,7.380269878,7.545294428,
